name,test_loss (~),test_loss,test_perplexity,lm-eval-avg-acc,lm-eval-avg-acc-std,-,-,-,-,-,I.isotropy,I.max norm,I.avg norm,I.min norm,I.mu norm,I.ratio norm,I.fhs_cos_sim,I.fhs_dot_prod,I.eb_cos_sim,-,O.isotropy,O.max norm,O.avg norm,O.min norm,O.mu norm,O.ratio norm,O.fhs_cos_sim,O.fhs_dot_prod,O.eb_cos_sim,O.eb_dot_sim,"O.corr_p(norm, lbp)","O.corr_s(norm, lbp)","O.corr_p(Emu, lbp)","O.corr_s(Emu, lbp)",O.Smin,O.Smax,O.Smin/Smax,O.logits_mean_mean,O.logits_mean_std,O.logits_std_mean,O.logits_std_std,O.logits_mean_absmean,O.logits_mean_absmax,H.mean_logsqZ,time
wor40A-16M-13p1B-100k-bs64-lr10-baseline-g0e+00-s1,3.881,3.881,48.461,,,-,-,-,-,-,0.887,3.486,2.836,0.891,0.146,0.051,-0.0312,-1.3925,-2.9,-,0.124,4.758,2.435,0.901,2.212,0.908,0.0733,0.2153,3.7,1.1,-0.693,-0.711,-0.731,-0.702,1.88,522.03,0.36%,-1.3906,2.8594,8.4375,0.2871,7.0000,20.8750,328.0,4879.6
wor40A-16M-13p1B-100k-bs64-lr100-baseline-g0e+00-s1,3.841,3.841,46.556,,,-,-,-,-,-,0.010,33.991,26.120,0.891,2.546,0.097,0.0717,16.5298,7.6,-,0.000,48.689,22.167,6.045,20.212,0.912,-0.0188,-0.5444,9.8,1.8,-0.670,-0.694,-0.681,-0.669,6.00,4761.38,0.13%,16.5000,3.5312,22.2500,0.5352,23.3750,40.5000,1720.0,4872.2
wor40A-16M-13p1B-100k-bs64-lr1000-baseline-g0e+00-s1,4.269,4.269,71.421,,,-,-,-,-,-,0.000,371.815,213.487,0.891,31.882,0.149,0.2441,587.2798,39.0,-,0.000,290.653,200.094,165.417,187.225,0.936,0.0103,4.2131,17.2,-6.3,-0.486,-0.531,-0.596,-0.560,52.31,42230.91,0.12%,588.0000,4.6875,139.0000,0.9297,588.0000,604.0000,389120.0,4869.3
wor40A-16M-13p1B-100k-bs64-lr3-baseline-g0e+00-s1,3.961,3.961,52.487,,,-,-,-,-,-,0.959,1.597,1.288,0.826,0.049,0.038,-0.2179,-6.1413,10.7,-,0.206,2.960,1.546,0.487,1.435,0.928,-0.0442,-0.0425,5.2,-0.2,-0.718,-0.685,-0.762,-0.697,1.81,338.57,0.54%,-6.1562,2.6094,6.1250,0.2178,7.7188,19.2500,156.0,4877.4
wor40A-16M-13p1B-100k-bs64-lr30-baseline-g0e+00-s1,3.850,3.850,46.982,,,-,-,-,-,-,0.651,10.177,7.953,0.891,0.417,0.052,0.0357,3.8401,10.8,-,0.003,12.475,6.334,2.196,5.806,0.917,0.0445,0.3438,11.7,2.3,-0.723,-0.724,-0.757,-0.714,2.71,1359.49,0.20%,3.8438,3.0938,11.3125,0.3418,9.6875,25.1250,600.0,4872.5
wor40A-16M-13p1B-100k-bs64-lr300-baseline-g0e+00-s1,3.857,3.857,47.335,,,-,-,-,-,-,0.000,100.267,71.946,0.891,7.005,0.097,0.2085,92.7202,26.0,-,0.000,105.647,60.572,27.099,56.652,0.935,-0.0205,-1.1287,2.0,-0.1,-0.706,-0.702,-0.720,-0.689,17.35,13107.16,0.13%,92.5000,4.1250,27.7500,0.6055,92.5000,110.5000,13248.0,4878.3
wor40A-16M-13p1B-100k-bs64-lr3000-baseline-g0e+00-s1,5.065,5.065,158.342,,,-,-,-,-,-,nan,1955.780,585.728,0.891,85.914,0.147,0.3921,1151.2271,47.1,-,0.000,664.776,372.937,242.693,331.471,0.889,-0.0610,-46.4143,6.6,-6.0,-0.519,-0.547,-0.638,-0.605,133.94,76985.88,0.17%,1152.0000,5.5625,568.0000,1.8359,1152.0000,1176.0000,1703936.0,4864.8
wor40E-16M-13p1B-100k-bs64-lr10-muloss-g1e-01-s1,3.881,3.881,48.482,,,-,-,-,-,-,0.860,3.610,2.837,0.891,0.147,0.052,-0.2504,-2.9806,8.0,-,0.000,22.560,1.792,0.525,0.430,0.240,-0.0893,-0.3633,5.6,-3.1,-0.505,-0.379,0.256,-0.202,1.69,738.86,0.23%,-2.9844,2.6250,5.9375,0.3711,5.7812,18.7500,244.0,4888.3
wor40E-16M-13p1B-100k-bs64-lr100-muloss-g1e-01-s1,3.838,3.838,46.436,,,-,-,-,-,-,0.008,33.777,26.170,0.891,2.490,0.095,-0.5562,-1.3019,7.2,-,0.000,33.868,7.456,2.146,0.286,0.038,-0.0332,-0.6758,14.5,9.4,-0.498,-0.332,-0.375,-0.201,5.26,1415.16,0.37%,-1.3047,2.7969,1.4062,0.4434,2.6875,17.2500,270.0,4891.5
wor40E-16M-13p1B-100k-bs64-lr1000-muloss-g1e-01-s1,3.837,3.837,46.363,,,-,-,-,-,-,0.000,386.604,220.302,0.891,35.697,0.162,-0.9330,-0.2519,49.1,-,0.000,298.341,63.535,18.943,0.124,0.002,-0.1228,-9.5599,12.0,8.3,-0.531,-0.366,-0.532,-0.404,28.09,14318.66,0.20%,-0.2539,3.0938,0.2500,0.6562,2.3906,19.1250,324.0,4905.8
